NETS,38,35
EASTERN
KYRIE IRVING,28.5,5.5,4.6,1.4,0.7,2.4,49.4,43.8,90.8
KEVIN DURANT,29.7,6.1,7.3,0.8,0.9,3.3,52.3,37.5,90.3
SETH CURRY,15.5,2.8,2.9,1.0,0.2,1.6,49.3,47.1,84.6
